setting,shape,seed,method,half,cells,lo_ratio,cov,seconds
n23,normal,290031,Oracle,2.137395680584909,20,0.7246342886278287,0.9674341775534052,
n23,normal,290031,Oracle04,2.1660369566442386,20,0.7246342886278287,0.9696916370098344,
n23,normal,290031,Plug,2.1624692041316576,20,0.7246342886278287,0.9694179716538396,
n23,normal,290031,Dlow,2.2458269949669987,20,0.7246342886278287,0.9752849085040274,
n23,normal,290031,S,2.250314166263855,20,0.7246342886278287,0.975570990698295,
n23,normal,290030,CP_PAC,2.521751460515145,24,0.668359404782264,0.9883227819094288,
n23,normal,290030,Oracle,2.281095495555597,24,0.668359404782264,0.9774572033668288,
n23,normal,290030,Oracle04,2.3105430446417823,24,0.668359404782264,0.9791418916788877,
n23,normal,290030,Plug,2.321336894016011,24,0.668359404782264,0.9797313314867728,
n23,normal,290030,Dlow,2.3933616249556424,24,0.668359404782264,0.9833052226315546,
n23,normal,290030,S,2.398143571031884,24,0.668359404782264,0.9835215949844144,
n23,normal,290032,CP_PAC,2.575626928844134,22,0.7459027063802723,0.9899941459019004,
n23,normal,290032,Oracle,2.3420447146220877,22,0.7459027063802723,0.9808215829281206,
n23,normal,290032,Oracle04,2.371867961529134,22,0.7459027063802723,0.9823015858250208,
n23,normal,290032,Plug,2.353475392754007,22,0.7459027063802723,0.9814011611645208,
n23,normal,290032,Dlow,2.434176514516612,22,0.7459027063802723,0.9850742855528724,
n23,normal,290032,S,2.439040008905049,22,0.7459027063802723,0.9852736622670224,
n23,normal,290034,CP_PAC,2.594123056634519,22,0.7693845628194923,0.9905167462132144,
n23,normal,290034,Oracle,2.362693716476436,22,0.7693845628194923,0.9818573431873604,
n23,normal,290034,Oracle04,2.3926445978618127,22,0.7693845628194923,0.9832725646125486,
n23,normal,290034,Plug,2.368638891130637,22,0.7693845628194923,0.982146324514204,
n23,normal,290034,Dlow,2.448764008936781,22,0.7693845628194923,0.985665266634206,
n23,normal,290034,S,2.453656649197273,22,0.7693845628194923,0.9858588067816908,
n23,normal,290039,CP_PAC,2.5603154813797024,19,0.8695924284427421,0.9895422818937528,
n23,normal,290039,Oracle,2.3247088567115024,19,0.8695924284427421,0.9799124666202492,
n23,normal,290039,Oracle04,2.354420753520738,19,0.8695924284427421,0.981448401102069,
n23,normal,290039,Plug,2.2929207484215164,19,0.8695924284427421,0.9781474319465772,
n23,normal,290039,Dlow,2.388549627329376,19,0.8695924284427421,0.983084976350686,
n23,normal,290039,S,2.393321959015159,19,0.8695924284427421,0.983303417453778,
n23,normal,290035,CP_PAC,2.503615381481849,25,0.6388708054001022,0.987706841001714,
n23,normal,290035,Oracle,2.260437593933426,25,0.6388708054001022,0.9762058945075254,
n23,normal,290035,Oracle04,2.2897660249362604,25,0.6388708054001022,0.9779651163413736,
n23,normal,290035,Plug,2.3123315143673806,25,0.6388708054001022,0.979240578726592,
n23,normal,290035,Dlow,2.3803347536874555,25,0.6388708054001022,0.9827030830731648,
n23,normal,290035,S,2.385090672022925,25,0.6388708054001022,0.9829250876962352,
n23,normal,290036,CP_PAC,2.883332354600184,24,0.88580767099117,0.9960650796573612,
n23,normal,290036,Oracle,2.679693077771997,24,0.88580767099117,0.992631030796132,
