shape,seed,method,k,p_k,half,cov
gamma2_skew,42125,SF_k109,109,0.957600953042881,3.210732529296735,0.9891148040149145
gamma2_skew,42125,SF_k110,110,0.9731335699937322,3.0682440758330936,0.9870405370463428
gamma2_skew,42126,SF_k106,106,0.9187206599719125,3.3764775245541956,0.9911216459469652
gamma2_skew,42126,SF_k107,107,0.9310223909852352,3.1172075216810313,0.9877934556202722
gamma2_skew,42126,SF_k108,108,0.9438729148535301,2.9300282062563596,0.9846625355981781
gamma2_skew,42126,SF_k109,109,0.957600953042881,2.777930471915252,0.9815544302596917
gamma2_skew,42126,SF_k110,110,0.9731335699937322,2.7633550247288903,0.9812262889257384
gamma2_skew,42127,SF_k106,106,0.9187206599719125,2.9239977715938443,0.9845496405001158
gamma2_skew,42127,SF_k107,107,0.9310223909852352,2.7324652592955614,0.9805120100073629
gamma2_skew,42127,SF_k108,108,0.9438729148535301,3.0328935060680706,0.9864689865527768
gamma2_skew,42127,SF_k109,109,0.957600953042881,3.011899669956066,0.9861180053334014
gamma2_skew,42127,SF_k110,110,0.9731335699937322,3.2916876200782723,0.9901449448880562
gamma2_skew,42128,SF_k106,106,0.9187206599719125,2.913141636096065,0.9843443617641441
gamma2_skew,42128,SF_k107,107,0.9310223909852352,3.132286397332011,0.9880166066490363
gamma2_skew,42128,SF_k108,108,0.9438729148535301,3.0148029339570064,0.9861670664118442
gamma2_skew,42128,SF_k109,109,0.957600953042881,2.986029319398059,0.9856732800625251
gamma2_skew,42128,SF_k110,110,0.9731335699937322,3.042611261049384,0.9866285078784082
gamma2_skew,42129,SF_k106,106,0.9187206599719125,3.221268375050116,0.989254599962662
gamma2_skew,42129,SF_k107,107,0.9310223909852352,3.55324985578886,0.9928631638820656
gamma2_skew,42129,SF_k108,108,0.9438729148535301,3.342344203556662,0.9907404070151085
gamma2_skew,42129,SF_k109,109,0.957600953042881,3.5001629494284674,0.9923787033757688
gamma2_skew,42129,SF_k110,110,0.9731335699937322,3.926828261404711,0.995515139934908
gamma2_skew,42130,SF_k106,106,0.9187206599719125,2.9155301928815534,0.984389753552899
gamma2_skew,42130,SF_k107,107,0.9310223909852352,2.7353996428317475,0.9805809817893792
gamma2_skew,42130,SF_k108,108,0.9438729148535301,2.8226297231888036,0.9825263810752695
gamma2_skew,42130,SF_k109,109,0.957600953042881,2.9494069880545264,0.9850199132215913
gamma2_skew,42130,SF_k110,110,0.9731335699937322,3.2185227579069227,0.9892183393259064
gamma2_skew,42131,SF_k106,106,0.9187206599719125,3.4822871508354996,0.9922084350004378
gamma2_skew,42131,SF_k107,107,0.9310223909852352,3.291208778945596,0.9901391413264328
gamma2_skew,42131,SF_k108,108,0.9438729148535301,3.177074121886314,0.9886561992981109
gamma2_skew,42131,SF_k109,109,0.957600953042881,3.1757181117127464,0.9886373333307005
gamma2_skew,42131,SF_k110,110,0.9731335699937322,2.9005852227260704,0.9841036207206069
gamma2_skew,42132,SF_k106,106,0.9187206599719125,3.533783587287585,0.9926891270765587
gamma2_skew,42132,SF_k107,107,0.9310223909852352,3.787889525375208,0.9946667742672113
gamma2_skew,42132,SF_k108,108,0.9438729148535301,3.5932950532193257,0.9932085173934068
gamma2_skew,42132,SF_k109,109,0.957600953042881,3.7496131924429332,0.9944065923711868
