shape,seed,method,centre,half,cert_tol,cov
gamma2_skew,42013,LDC_cert_pk,0.0,2.138856608910137,,0.9603995871968882
gamma2_skew,42014,CP_PAC,0.0,2.176656798904257,0.001,0.962127858704038
gamma2_skew,42014,FH_PAC,-0.0590452166670125,1.8528584194814803,0.001,0.9407157691057773
gamma2_skew,42014,FH_normal,-0.0590452166670125,1.5372227481660827,0.001,0.9148287008025217
gamma2_skew,42014,HetLDC,0.0,1.8513966802069943,0.001,0.9445484967049252
gamma2_skew,42014,HetLDC_cert,0.0,1.853248076887201,0.001,0.9446677194542584
gamma2_skew,42014,LDC_PAC,0.0,1.9240055959887896,0.001,0.9490453415656648
gamma2_skew,42014,LDC_cert_pk,0.0,1.8616159224712419,,0.9452035349028788
gamma2_skew,42015,CP_PAC,0.0,2.442519235820609,0.001,0.9723880314494872
gamma2_skew,42015,FH_PAC,0.0529364544353078,1.764470500375372,0.001,0.9423157048228876
gamma2_skew,42015,FH_normal,0.0529364544353078,1.4327752885958542,0.001,0.9144109808907436
gamma2_skew,42015,HetLDC,0.0,2.146709913707254,0.001,0.9607647719661848
gamma2_skew,42015,HetLDC_cert,0.0,2.1488566236209614,0.001,0.9608640313196024
gamma2_skew,42015,LDC_PAC,0.0,2.226351095811965,0.001,0.9642899073739932
gamma2_skew,42015,LDC_cert_pk,0.0,2.1562654798496945,,0.9612047516438265
gamma2_skew,42016,CP_PAC,0.0,2.32009734096526,0.001,0.9680494508829182
gamma2_skew,42016,FH_PAC,-0.0727492696288109,2.0047864093258125,0.001,0.9495208040918588
gamma2_skew,42016,FH_normal,-0.0727492696288109,1.6719323982289205,0.001,0.9258120749924464
gamma2_skew,42016,HetLDC,0.0,2.0441122995231766,0.001,0.9557286527711062
gamma2_skew,42016,HetLDC_cert,0.0,2.0461564118227,0.001,0.9558347854122008
gamma2_skew,42016,LDC_PAC,0.0,2.114763798661769,0.001,0.9592587735313386
gamma2_skew,42016,LDC_cert_pk,0.0,2.053005622403504,,0.9561886299261514
gamma2_skew,42017,CP_PAC,0.0,2.076007148913085,0.001,0.9573571585774412
gamma2_skew,42017,FH_PAC,0.0110641542393429,1.6565249452194062,0.001,0.9314145796965444
gamma2_skew,42017,FH_normal,0.0110641542393429,1.3325328061646216,0.001,0.8929399152113066
gamma2_skew,42017,HetLDC,0.0,1.7301964184306435,0.001,0.9361888038232852
gamma2_skew,42017,HetLDC_cert,0.0,1.7319266148490742,0.001,0.9363161549709484
gamma2_skew,42017,LDC_PAC,0.0,1.804010239659456,0.001,0.9414123634242604
gamma2_skew,42017,LDC_cert_pk,0.0,1.7344019647577005,,0.9364979336208947
gamma2_skew,42018,CP_PAC,0.0,2.517003604755958,0.003,0.9747430512009786
gamma2_skew,42018,FH_PAC,0.0109835587202927,1.9100955748276136,0.003,0.9488710358445318
gamma2_skew,42018,FH_normal,0.0109835587202927,1.6154553350070822,0.003,0.9280943349687154
gamma2_skew,42018,HetLDC,0.0,2.2318036582755254,0.003,0.9645197708544776
gamma2_skew,42018,HetLDC_cert,0.0,2.238499069250352,0.003,0.9648000816291442
gamma2_skew,42018,LDC_PAC,0.0,2.310389505815864,0.003,0.9676785797561424
gamma2_skew,42018,LDC_cert_pk,0.0,2.2432222759409286,,0.9649965403624752
gamma2_skew,42019,CP_PAC,0.0,2.063469284154362,0.001,0.9567239633125548
gamma2_skew,42019,FH_PAC,0.0457838182781429,2.1070544268276863,0.001,0.961047494859024
gamma2_skew,42019,FH_normal,0.0457838182781429,1.780140145307071,0.001,0.9428830952630918
gamma2_skew,42019,HetLDC,0.0,1.753481354963982,0.001,0.9378825938071658
gamma2_skew,42019,HetLDC_cert,0.0,1.755234836318946,0.001,0.9380084008908872
gamma2_skew,42019,LDC_PAC,0.0,1.8239561017899384,0.001,0.9427524733061404
gamma2_skew,42019,LDC_cert_pk,0.0,1.758579214167423,,0.9382476791019388
gamma2_skew,42020,CP_PAC,0.0,2.135496590317684,0.001,0.9602423485771376
gamma2_skew,42020,FH_PAC,-0.0495271865866665,1.600413626018477,0.001,0.9215989737228344
gamma2_skew,42020,FH_normal,-0.0495271865866665,1.3196077287979069,0.001,0.8903460860157268
gamma2_skew,42020,HetLDC,0.0,1.790976872336808,0.001,0.9405206132573408
gamma2_skew,42020,HetLDC_cert,0.0,1.7927678492091448,0.001,0.9406439137589764
gamma2_skew,42020,LDC_PAC,0.0,1.8718726842142048,0.001,0.9458535560644038
gamma2_skew,42020,LDC_cert_pk,0.0,1.7981877014384187,,0.9410155658342947
gamma2_skew,42021,CP_PAC,0.0,2.9379426428834576,0.003,0.984809482931925
gamma2_skew,42021,FH_PAC,0.2451510691335698,2.099372967234788,0.003,0.9689645690093056
gamma2_skew,42021,FH_normal,0.2451510691335698,1.7429858762782842,0.003,0.9527255674870454
gamma2_skew,42021,HetLDC,0.0,2.7142501667977026,0.003,0.9800785191433814
gamma2_skew,42021,HetLDC_cert,0.0,2.7223929172980954,0.003,0.9802734486463645
gamma2_skew,42021,LDC_PAC,0.0,2.7981635085651746,0.003,0.982000720980747
gamma2_skew,42021,LDC_cert_pk,0.0,2.7307387662949947,,0.9804713182429311
gamma2_skew,42022,CP_PAC,0.0,3.0626345310098584,0.003,0.9869514393433448
gamma2_skew,42022,FH_PAC,0.2723645748366812,2.4970226662517687,0.003,0.9813627760805228
gamma2_skew,42022,FH_normal,0.2723645748366812,2.116120285891022,0.003,0.9705481965378572
gamma2_skew,42022,HetLDC,0.0,2.8763115545327005,0.003,0.9836279724874796
gamma2_skew,42022,HetLDC_cert,0.0,2.884940489196298,0.003,0.983798623650421
gamma2_skew,42022,LDC_PAC,0.0,2.9618148157827395,0.003,0.9852444627941992
gamma2_skew,42022,LDC_cert_pk,0.0,2.888981561795117,,0.9838779461831382
gamma2_skew,42023,CP_PAC,0.0,2.226000186943047,0.001,0.964275065143048
gamma2_skew,42023,FH_PAC,0.1367460260219112,1.9039736759854369,0.001,0.95555196565293
gamma2_skew,42023,FH_normal,0.1367460260219112,1.5979495359309417,0.001,0.9365194613753028
gamma2_skew,42023,HetLDC,0.0,1.9707326777682923,0.001,0.9517527518079464
gamma2_skew,42023,HetLDC_cert,0.0,1.9727034104460608,0.001,0.9518638602549852
gamma2_skew,42023,LDC_PAC,0.0,2.0432737808319548,0.001,0.9556850452756148
gamma2_skew,42023,LDC_cert_pk,0.0,1.9791605395223542,,0.9522261963943417
gamma2_skew,42024,CP_PAC,0.0,2.5349608420737617,0.003,0.9752810546702384
gamma2_skew,42024,FH_PAC,0.1637285205775158,1.9484668378335173,0.003,0.9591353114259986
gamma2_skew,42024,FH_normal,0.1637285205775158,1.6802381689979615,0.003,0.9440675667882276
gamma2_skew,42024,HetLDC,0.0,2.3253526193768463,0.003,0.968248504537497
gamma2_skew,42024,HetLDC_cert,0.0,2.3323286772349765,0.003,0.9685108895256878
gamma2_skew,42024,LDC_PAC,0.0,2.4009786137107048,0.003,0.970983842378549
gamma2_skew,42024,LDC_cert_pk,0.0,2.33826991253127,,0.9687327026749508
gamma2_skew,42025,CP_PAC,0.0,2.579071256680548,0.001,0.9765559403216072
gamma2_skew,42025,FH_PAC,0.1392293876998293,2.3430836822092864,0.001,0.973671449415136
gamma2_skew,42025,FH_normal,0.1392293876998293,1.9595578727497984,0.001,0.9584849468778864
gamma2_skew,42025,HetLDC,0.0,2.330515610994792,0.001,0.9684428978941364
gamma2_skew,42025,HetLDC_cert,0.0,2.3328461266057863,0.001,0.9685302684197932
gamma2_skew,42025,LDC_PAC,0.0,2.4140642378881467,0.001,0.9714334524674526
gamma2_skew,42025,LDC_cert_pk,0.0,2.3413468903629093,,0.9688469870496681
gamma2_skew,42026,CP_PAC,0.0,2.2605054134691143,0.001,0.9657064622457514
gamma2_skew,42026,FH_PAC,-0.1533441066317002,1.83442264605955,0.001,0.9324710123782228
gamma2_skew,42026,FH_normal,-0.1533441066317002,1.5132323649657755,0.001,0.9026282639835458
gamma2_skew,42026,HetLDC,0.0,1.987933566729568,0.001,0.9527143087206268
gamma2_skew,42026,HetLDC_cert,0.0,1.989921500296297,0.001,0.9528242480768764
gamma2_skew,42026,LDC_PAC,0.0,2.060445883315642,0.001,0.9565699300950136
gamma2_skew,42026,LDC_cert_pk,0.0,1.9988782837682093,,0.9533165616056201
gamma2_skew,42027,CP_PAC,0.0,2.373099397941166,0.001,0.9700030387261914
gamma2_skew,42027,FH_PAC,-0.0958056669545213,1.9952511034525449,0.001,0.947564714661915
gamma2_skew,42027,FH_normal,-0.0958056669545213,1.6683250911586698,0.001,0.9235132841339544
gamma2_skew,42027,HetLDC,0.0,2.108382174469285,0.001,0.9589513533370146
gamma2_skew,42027,HetLDC_cert,0.0,2.110490556643754,0.001,0.959053165282441
gamma2_skew,42027,LDC_PAC,0.0,2.193070937544507,0.001,0.962855546856073
