shape,seed,rule,nu,alpha,half,cov
normal,300026,H,10.0,0.001,2.6700552872698804,0.9924161241601144
normal,300026,H,10.0,0.005,2.6159235236564324,0.9911013513985318
normal,300026,H,50.0,9e-05,2.460705415475798,0.9861335831740459
normal,300026,H,50.0,0.001,2.436100068378776,0.985153423293154
normal,300026,H,50.0,0.005,2.4262579295399673,0.9847445762400397
normal,300026,H,200.0,9e-05,2.3425997494100934,0.9808500857409599
normal,300026,H,200.0,0.001,2.3327576105712846,0.9803391293784827
normal,300026,H,200.0,0.005,2.3327576105712846,0.9803391293784827
normal,300026,H,1000.0,9e-05,2.2815144533785077,0.9774819775655728
normal,300026,H,1000.0,0.001,2.2815144533785077,0.9774819775655728
normal,300026,H,1000.0,0.005,2.293537312180298,0.9781829102294752
normal,300016,CP,,,2.3438263857769606,0.9809129461306123
normal,300016,Oracle,,,2.097174234623321,0.9640218455659813
normal,300016,H,2.0,9e-05,3.2677962649524357,0.9989161164128544
normal,300016,H,2.0,0.001,3.169355556749814,0.9984722262566179
normal,300016,H,2.0,0.005,3.056851890232532,0.9977632523298341
normal,300016,H,10.0,9e-05,2.6274120612718455,0.9913962923073141
normal,300016,H,10.0,0.001,2.5387213099669634,0.9888741589555488
normal,300016,H,10.0,0.005,2.487157129479876,0.9871231488950352
normal,300016,H,50.0,9e-05,2.3346136890742,0.9804363892164254
normal,300016,H,50.0,0.001,2.3111754252164327,0.9791768328179897
normal,300016,H,50.0,0.005,2.301800119673326,0.9786535531875018
normal,300016,H,200.0,9e-05,2.2081882890676225,0.9727688495826508
normal,300016,H,200.0,0.001,2.198812983524516,0.972108777079919
normal,300016,H,200.0,0.005,2.203500636296069,0.9724405178258013
normal,300016,H,1000.0,9e-05,2.1472488030374284,0.9682265206952192
normal,300016,H,1000.0,0.001,2.1472488030374284,0.9682265206952192
normal,300016,H,1000.0,0.005,2.1613117613520885,0.9693287349910482
normal,300027,CP,,,2.260517712800019,0.9762108616285525
normal,300027,Oracle,,,1.9986747262206452,0.9543564406993263
normal,300027,H,2.0,9e-05,3.142604050880646,0.9983254781456044
normal,300027,H,2.0,0.001,3.052183342368655,0.9977281670862821
normal,300027,H,2.0,0.005,2.948199527579866,0.996803693082666
normal,300027,H,10.0,9e-05,2.538544689810128,0.9888685414859095
normal,300027,H,10.0,0.001,2.4530063515173084,0.9858332162804411
normal,300027,H,10.0,0.005,2.4032749618357134,0.9837510354061998
normal,300027,H,50.0,9e-05,2.2425904001896093,0.9750767601363572
normal,300027,H,50.0,0.001,2.2199852230616117,0.9735802292879017
normal,300027,H,50.0,0.005,2.2064221167848133,0.9726455421174944
normal,300027,H,200.0,9e-05,2.120522443698422,0.9660379891461199
normal,300027,H,200.0,0.001,2.107095542569394,0.9648907013590768
normal,300027,H,200.0,0.005,2.1116165779949934,0.9652806505354221
normal,300027,H,1000.0,9e-05,2.0528431174621997,0.959912204742267
normal,300027,H,1000.0,0.001,2.0528431174621997,0.959912204742267
normal,300027,H,1000.0,0.005,2.066406223738998,0.9612098612325741
normal,300024,CP,,,2.4009944948104307,0.9836494175173371
normal,300024,Oracle,,,2.166046072180437,0.9696923335157157
normal,300024,H,2.0,9e-05,3.347500860099759,0.9991845626526756
normal,300024,H,2.0,0.001,3.2514610803073523,0.9988518650622447
normal,300024,H,2.0,0.005,3.131411355566844,0.9982603170387885
normal,300024,H,10.0,9e-05,2.691497089116112,0.9928867880927554
normal,300024,H,10.0,0.001,2.60544507675314,0.9908245017022526
normal,300024,H,10.0,0.005,2.552623197867316,0.9893084909024039
normal,300024,H,50.0,9e-05,2.4011610698318777,0.9836568589781969
normal,300024,H,50.0,0.001,2.377151124883776,0.9825530615776188
normal,300024,H,50.0,0.005,2.3675471469045353,0.982093561602897
normal,300024,H,200.0,9e-05,2.2811113450913694,0.977458141027129
normal,300024,H,200.0,0.001,2.2715073671121284,0.9768837184974515
normal,300024,H,200.0,0.005,2.2715073671121284,0.9768837184974515
normal,300024,H,1000.0,9e-05,2.2140281686671033,0.9731731587426529
normal,300024,H,1000.0,0.001,2.2167022069291047,0.973356552114812
normal,300024,H,1000.0,0.005,2.2263061849083456,0.9740063205128529
normal,300029,CP,,,2.8469107055663048,0.9955854256716523
normal,300029,Oracle,,,2.6642075971528505,0.9922830077108553
normal,300029,H,2.0,9e-05,3.9976727250184974,0.9999360316889998
normal,300029,H,2.0,0.001,3.872408653973594,0.999892234930601
normal,300029,H,2.0,0.005,3.7243692972841624,0.9998041958765866
normal,300029,H,10.0,9e-05,3.1856720453440897,0.9985558179387077
normal,300029,H,10.0,0.001,3.0893321487432974,0.9979939297396616
normal,300029,H,10.0,0.005,3.03808775604311,0.9976191538970203
normal,300029,H,50.0,9e-05,2.876196858412352,0.9959750139851842
normal,300029,H,50.0,0.001,2.853421572767824,0.9956748797726822
normal,300029,H,50.0,0.005,2.847727751356692,0.9955967424970433
normal,300029,H,200.0,9e-05,2.7560070745663587,0.9941488268585659
normal,300029,H,200.0,0.001,2.750313253155227,0.9940461682508894
normal,300029,H,200.0,0.005,2.7560070745663587,0.9941488268585659
normal,300029,H,1000.0,9e-05,2.702411062664481,0.9931161401896456
normal,300029,H,1000.0,0.001,2.708104884075613,0.993233136656213
normal,300029,H,1000.0,0.005,2.7194925268978767,0.9934617827608563
laplace,301004,CP,,,2.7793215625152525,0.9803672118946749
laplace,301004,Oracle,,,2.5915100815219096,0.9743945152990936
laplace,301004,H,2.0,9e-05,3.897204440662266,0.9959598739028295
laplace,301004,H,2.0,0.001,3.7749142919116085,0.99519709813446
laplace,301004,H,2.0,0.005,3.630389570660831,0.9941079197925102
laplace,301004,H,10.0,9e-05,3.115598936772268,0.9877975956805936
laplace,301004,H,10.0,0.001,3.0215462671786817,0.9860616564856184
laplace,301004,H,10.0,0.005,2.9659598359283827,0.984921729712835
laplace,301004,H,50.0,9e-05,2.8079124262641546,0.9811452015005528
laplace,301004,H,50.0,0.001,2.7856778537640348,0.9805429031953972
laplace,301004,H,50.0,0.005,2.780119210639005,0.9803893460725817
laplace,301004,H,200.0,9e-05,2.6850174518014094,0.9775662351471748
laplace,301004,H,200.0,0.001,2.6794588086763795,0.9773891858977768
laplace,301004,H,200.0,0.005,2.6850174518014094,0.9775662351471748
laplace,301004,H,1000.0,9e-05,2.6271352316662315,0.9756526015454596
laplace,301004,H,1000.0,0.001,2.6326938747912614,0.9758432487553161
laplace,301004,H,1000.0,0.005,2.649369804166351,0.976406280111763
laplace,301000,CP,,,2.6371729865764766,0.975995784157115
laplace,301000,Oracle,,,2.4318928890138216,0.9679101630816607
laplace,301000,H,2.0,9e-05,3.697881674684418,0.994644302954838
laplace,301000,H,2.0,0.001,3.587120409248218,0.9937361128282223
laplace,301000,H,2.0,0.005,3.4499874139462565,0.9923955295751161
laplace,301000,H,10.0,9e-05,2.9457027414526062,0.9844835226937718
laplace,301000,H,10.0,0.001,2.861734747527837,0.9825270986390522
laplace,301000,H,10.0,0.005,2.8089912877963132,0.9811739470975913
laplace,301000,H,50.0,9e-05,2.643204184909976,0.9761996550906689
laplace,301000,H,50.0,0.001,2.621532909154325,0.9754589338275601
laplace,301000,H,50.0,0.005,2.6162585631811726,0.975275196346681
laplace,301000,H,200.0,9e-05,2.5318690276107345,0.9721411201269221
laplace,301000,H,200.0,0.001,2.526594681637582,0.9719325423751641
laplace,301000,H,200.0,0.005,2.537143373583887,0.9723481478744329
laplace,301000,H,1000.0,9e-05,2.476947197261093,0.9698910352591548
laplace,301000,H,1000.0,0.001,2.482221543234245,0.9701147840666653
laplace,301000,H,1000.0,0.005,2.49277023518055,0.9705573058032169
normal,300028,CP,,,2.1567044074923443,0.9689712966400252
normal,300028,Oracle,,,1.871248520041005,0.9386893576201298
normal,300028,H,2.0,9e-05,3.011221535704122,0.9973980106087448
normal,300028,H,2.0,0.001,2.929266768219422,0.9966023731325089
normal,300028,H,2.0,0.005,2.825744956659801,0.9952829194352852
normal,300028,H,10.0,9e-05,2.4047094797064337,0.9838146729655286
normal,300028,H,10.0,0.001,2.3274128616850494,0.9800566981288434
normal,300028,H,10.0,0.005,2.275651955905239,0.9771331509755936
normal,300028,H,50.0,9e-05,2.1266601725707353,0.966551671043141
normal,300028,H,50.0,0.001,2.1007797196808298,0.9643396924940841
normal,300028,H,50.0,0.005,2.0878394932358773,0.9631876842749094
normal,300028,H,200.0,9e-05,1.9973878581060538,0.9542169342183402
normal,300028,H,200.0,0.001,1.9887610404760854,0.9532724150858387
normal,300028,H,200.0,0.005,1.9930744492910697,0.9537467046311741
normal,300028,H,1000.0,9e-05,1.9326867258812905,0.94672519859974
normal,300028,H,1000.0,0.001,1.9326867258812905,0.94672519859974
normal,300028,H,1000.0,0.005,1.9456269523262433,0.948300432975612
laplace,301003,CP,,,1.8796495606044636,0.9299275730495908
laplace,301003,Oracle,,,1.5087956132091584,0.8816086029294763
laplace,301003,H,2.0,9e-05,2.583041306121599,0.9740860034079903
laplace,301003,H,2.0,0.001,2.511614622818637,0.9713315901075741
laplace,301003,H,2.0,0.005,2.4364286403944666,0.9681153452420617
laplace,301003,H,10.0,9e-05,2.0810586304699745,0.9472958637240034
laplace,301003,H,10.0,0.001,2.0096319471670125,0.9416939113802141
laplace,301003,H,10.0,0.005,1.9570017594700935,0.9371885834498672
laplace,301003,H,50.0,9e-05,1.7970753853455301,0.9212477462440316
laplace,301003,H,50.0,0.001,1.767000992375862,0.917826036114443
laplace,301003,H,50.0,0.005,1.759482394133445,0.9169476265314076
laplace,301003,H,200.0,9e-05,1.673131770678351,0.9061601470559593
laplace,301003,H,200.0,0.001,1.6618538733147254,0.9046514625994506
laplace,301003,H,200.0,0.005,1.665613172435934,0.9051570333907664
laplace,301003,H,1000.0,9e-05,1.5979457882541808,0.8956324635763309
laplace,301003,H,1000.0,0.001,1.5979457882541808,0.8956324635763309
laplace,301003,H,1000.0,0.005,1.612982984739015,0.8978284905820049
laplace,301009,CP,,,2.7153675022941153,0.9785087531192673
laplace,301009,Oracle,,,2.5204530215884375,0.9716876973577013
laplace,301009,H,2.0,9e-05,3.8075271428447954,0.9954135846270251
laplace,301009,H,2.0,0.001,3.6880509727438677,0.9945693242451787
laplace,301009,H,2.0,0.005,3.5468518626245893,0.9933690421150485
laplace,301009,H,10.0,9e-05,3.043906907784114,0.9864955285733554
laplace,301009,H,10.0,0.001,2.9520184534350937,0.984621495145066
laplace,301009,H,10.0,0.005,2.8977111033892173,0.983393852855406
laplace,301009,H,50.0,9e-05,2.732439001011318,0.9790213975901376
laplace,301009,H,50.0,0.001,2.7052853259883802,0.9782001283779602
laplace,301009,H,50.0,0.005,2.6998545909837923,0.9780320559974156
laplace,301009,H,200.0,9e-05,2.623233392654288,0.9755178804255282
laplace,301009,H,200.0,0.001,2.6123719226451128,0.975138921302884
laplace,301009,H,200.0,0.005,2.6178026576497007,0.9753291284829022
laplace,301009,H,1000.0,9e-05,2.5612523463667345,0.9732750529908312
laplace,301009,H,1000.0,0.001,2.5612523463667345,0.9732750529908312
laplace,301009,H,1000.0,0.005,2.57211381637591,0.973682423185612
laplace,301007,CP,,,2.6295514459939313,0.9757356556740855
laplace,301007,Oracle,,,2.4256486258311685,0.9676255317627669
laplace,301007,H,2.0,9e-05,3.692453744379677,0.9946030330748272
laplace,301007,H,2.0,0.001,3.582012583647944,0.9936907014686753
laplace,301007,H,2.0,0.005,3.4452759084562747,0.9923446912368781
laplace,301007,H,10.0,9e-05,2.952966845609042,0.984642107416926
laplace,301007,H,10.0,0.001,2.858723316925896,0.9824525262599739
laplace,301007,H,10.0,0.005,2.8061322880060233,0.9810976748280229
laplace,301007,H,50.0,9e-05,2.6408243168031755,0.9761194167050107
laplace,301007,H,50.0,0.001,2.6192156719437483,0.9753783791583077
laplace,301007,H,50.0,0.005,2.6086974661597737,0.9750093953005627
laplace,301007,H,200.0,9e-05,2.5298109227799643,0.9720599159586363
laplace,301007,H,200.0,0.001,2.51929271699599,0.9716412010388678
laplace,301007,H,200.0,0.005,2.5245518198879773,0.9718513370426556
laplace,301007,H,1000.0,9e-05,2.464529613040486,0.9693576182455947
laplace,301007,H,1000.0,0.001,2.464529613040486,0.9693576182455947
laplace,301007,H,1000.0,0.005,2.4750478188244607,0.9698100500441134
laplace,301001,CP,,,2.2267535080279415,0.9571095037882071
laplace,301001,Oracle,,,1.9572131182718875,0.9372073553838784
laplace,301001,H,2.0,9e-05,3.1090250916094724,0.9876836231417843
laplace,301001,H,2.0,0.001,3.02440845830442,0.9861179613777966
laplace,301001,H,2.0,0.005,2.9175242899190907,0.9838526998934911
laplace,301001,H,10.0,9e-05,2.496174230299305,0.970698701617221
laplace,301001,H,10.0,0.001,2.4119135347135643,0.9669905314219336
laplace,301001,H,10.0,0.005,2.362924957536955,0.964622544847352
laplace,301001,H,50.0,9e-05,2.200186952547117,0.9554674202311249
laplace,301001,H,50.0,0.001,2.1779194174668404,0.9540427277340173
laplace,301001,H,50.0,0.005,2.164558896418674,0.953166126628114
laplace,301001,H,200.0,9e-05,2.08007643383429,0.9472226049239751
laplace,301001,H,200.0,0.001,2.0756229268182342,0.9468891528319718
laplace,301001,H,200.0,0.005,2.08007643383429,0.9472226049239751
laplace,301001,H,1000.0,9e-05,2.013273828593459,0.9419934389433826
laplace,301001,H,1000.0,0.001,2.0177273356095142,0.9423576283729556
laplace,301001,H,1000.0,0.005,2.026634349641625,0.9430791619876444
laplace,301010,CP,,,2.810614044012346,0.9812171019179288
laplace,301010,Oracle,,,2.625408764615338,0.975593082473833
laplace,301010,H,2.0,9e-05,3.946704433803819,0.996233024811984
laplace,301010,H,2.0,0.001,3.8230374158672897,0.995513091583182
laplace,301010,H,2.0,0.005,3.676885485578664,0.9944828911833086
laplace,301010,H,10.0,9e-05,3.156298805416399,0.9884801146672915
laplace,301010,H,10.0,0.001,3.055565965342982,0.9867163700000243
laplace,301010,H,10.0,0.005,2.9993536844627413,0.985617263689184
laplace,301010,H,50.0,9e-05,2.8395268133251506,0.9819696229591808
laplace,301010,H,50.0,0.001,2.81142067288503,0.9812385162077846
laplace,301010,H,50.0,0.005,2.800178216708982,0.9809378390524659
laplace,301010,H,200.0,9e-05,2.7264906160981224,0.9788441751961416
laplace,301010,H,200.0,0.001,2.715248159922074,0.9785051256150479
laplace,301010,H,200.0,0.005,2.7208693880100983,0.9786753242306245
laplace,301010,H,1000.0,9e-05,2.6623354698753006,0.9768349575841759
laplace,301010,H,1000.0,0.001,2.6679566979633247,0.9770183807611781
laplace,301010,H,1000.0,0.005,2.673577926051349,0.9772003515746894
laplace,301006,CP,,,2.3402904078305413,0.9634717897972263
laplace,301006,Oracle,,,2.092911759100482,0.9481719719794155
laplace,301006,H,2.0,9e-05,3.281588677195908,0.9903506740269252
laplace,301006,H,2.0,0.001,3.1879770608826967,0.9889848138152608
laplace,301006,H,2.0,0.005,3.0709625404911822,0.9870024821491687
laplace,301006,H,10.0,9e-05,2.6187676753035545,0.975362774869575
laplace,301006,H,10.0,0.001,2.5348913067642425,0.9722599390016757
laplace,301006,H,10.0,0.005,2.488085498607637,0.9703615939347039
laplace,301006,H,50.0,9e-05,2.326411028906558,0.9627477163030085
laplace,301006,H,50.0,0.001,2.303008124828255,0.9614941585948191
laplace,301006,H,50.0,0.005,2.2936469631969336,0.9609810027567023
laplace,301006,H,200.0,9e-05,2.2093965085150433,0.9560436642453953
laplace,301006,H,200.0,0.001,2.2000353468837224,0.9554578712983632
laplace,301006,H,200.0,0.005,2.200176358652407,0.9554667530376997
laplace,301006,H,1000.0,9e-05,2.1440093888644802,0.9517850989644456
laplace,301006,H,1000.0,0.001,2.1440093888644802,0.9517850989644456
laplace,301006,H,1000.0,0.005,2.153370550495801,0.9524191941411193
laplace,301002,CP,,,2.1854793905701446,0.9545314588036111
laplace,301002,Oracle,,,1.906433520508033,0.932532153346411
laplace,301002,H,2.0,9e-05,3.042655661011872,0.9864716108486098
laplace,301002,H,2.0,0.001,2.9596074441702154,0.9847856617044117
laplace,301002,H,2.0,0.005,2.85470443342286,0.9823525101935207
laplace,301002,H,10.0,9e-05,2.432422414455253,0.9679341849474146
laplace,301002,H,10.0,0.001,2.3540944966100223,0.9641779754631641
laplace,301002,H,10.0,0.005,2.3103849087986243,0.961893776827438
laplace,301002,H,50.0,9e-05,2.150663343441005,0.9522366785822414
laplace,301002,H,50.0,0.001,2.1288085495353064,0.950737390932094
laplace,301002,H,50.0,0.005,2.115695673191887,0.9498153218436871
laplace,301002,H,200.0,9e-05,2.032779140141805,0.943571663661471
laplace,301002,H,200.0,0.001,2.028408181360665,0.9432217733350043
laplace,301002,H,200.0,0.005,2.028408181360665,0.9432217733350043
laplace,301002,H,1000.0,9e-05,1.9672147584247077,0.9380892713158622
laplace,301002,H,1000.0,0.001,1.9715857172058475,0.9384707901892659
laplace,301002,H,1000.0,0.005,1.9803276347681271,0.9392267892049395
laplace,301005,CP,,,2.5330010560596525,0.9721856845612844
laplace,301005,Oracle,,,2.315033998337413,0.9621434960052342
laplace,301005,H,2.0,9e-05,3.526480293441865,0.9931752274087318
laplace,301005,H,2.0,0.001,3.4150282469752526,0.9920101178001413
laplace,301005,H,2.0,0.005,3.283312192060165,0.9903741648285835
laplace,301005,H,10.0,9e-05,2.8445414710681063,0.9820970383965986
laplace,301005,H,10.0,0.001,2.75375832322558,0.9796444640697366
laplace,301005,H,10.0,0.005,2.703098302104393,0.9781325987663843
laplace,301005,H,50.0,9e-05,2.5382427914798447,0.9723911078915988
laplace,301005,H,50.0,0.001,2.5179787830313693,0.971588456204528
laplace,301005,H,50.0,0.005,2.507846778807132,0.9711784217312776
laplace,301005,H,200.0,9e-05,2.4217247429011133,0.9674453797014635
laplace,301005,H,200.0,0.001,2.411745362025585,0.966982679777179
laplace,301005,H,200.0,0.005,2.4217247429011133,0.9674453797014635
laplace,301005,H,1000.0,9e-05,2.358840395548649,0.9644175976325144
laplace,301005,H,1000.0,0.001,2.363906397660768,0.9646716134892477
laplace,301005,H,1000.0,0.005,2.3740384018850054,0.9651742180384737
laplace,301008,CP,,,2.3762913622835864,0.9652850022187949
laplace,301008,Oracle,,,2.1369549732143183,0.9513016779980987
laplace,301008,H,2.0,9e-05,3.3083068167389826,0.9907084729939657
laplace,301008,H,2.0,0.001,3.208502579523083,0.9892999606812405
laplace,301008,H,2.0,0.005,3.0896880114089167,0.987342162484729
laplace,301008,H,10.0,9e-05,2.6546797353740197,0.9765827906712392
laplace,301008,H,10.0,0.001,2.573885829056387,0.9737482925790308
laplace,301008,H,10.0,0.005,2.5263600018107204,0.9719232255938222
laplace,301008,H,50.0,9e-05,2.3717036407386236,0.9650590384514555
laplace,301008,H,50.0,0.001,2.34794072711579,0.9638648650603876
laplace,301008,H,50.0,0.005,2.338435561666657,0.9633758450901364
laplace,301008,H,200.0,9e-05,2.2528890726244573,0.9586658515232367
laplace,301008,H,200.0,0.001,2.243383907175324,0.958106472843947
laplace,301008,H,200.0,0.005,2.2481364898998906,0.9583871020994257
laplace,301008,H,1000.0,9e-05,2.186496095449341,0.9545967882143729
laplace,301008,H,1000.0,0.001,2.186496095449341,0.9545967882143729
laplace,301008,H,1000.0,0.005,2.200753843623041,0.9555031079177134
laplace,301011,CP,,,2.3837092231823154,0.9656472742834064
laplace,301011,Oracle,,,2.1452377411372505,0.9518687828906811
laplace,301011,H,2.0,9e-05,3.3377037425468106,0.9910868351619848
laplace,301011,H,2.0,0.001,3.2423553736195285,0.9898001569228767
laplace,301011,H,2.0,0.005,3.1136350755676974,0.987763658604168
laplace,301011,H,10.0,9e-05,2.667353008885554,0.9769987519343808
laplace,301011,H,10.0,0.001,2.586687921765423,0.9742193002985216
laplace,301011,H,10.0,0.005,2.539013737301782,0.9724211929671436
laplace,301011,H,50.0,9e-05,2.3695723436555514,0.9649535637000266
laplace,301011,H,50.0,0.001,2.3505026698700946,0.9639955506146074
laplace,301011,H,50.0,0.005,2.3457352514237306,0.9637519831331782
laplace,301011,H,200.0,9e-05,2.2505305104207722,0.958527750840418
laplace,301011,H,200.0,0.001,2.245763091974408,0.9582471940911985
laplace,301011,H,200.0,0.005,2.2551543009428126,0.9587980542844974
laplace,301011,H,1000.0,9e-05,2.191208857908077,0.9548983877531676
laplace,301011,H,1000.0,0.001,2.1959762763544415,0.9552014467079157
laplace,301011,H,1000.0,0.005,2.212391162849859,0.9562294292353613
laplace,301013,CP,,,2.748317508796026,0.9794872348143442
laplace,301013,Oracle,,,2.5575459915328507,0.9731346043513247
laplace,301013,H,2.0,9e-05,3.853730113163525,0.9957036841034457
laplace,301013,H,2.0,0.001,3.7383007777941044,0.994941855993918
laplace,301013,H,2.0,0.005,3.5898916323191354,0.9937606135944235
laplace,301013,H,10.0,9e-05,3.0808436216241226,0.9871828457979637
laplace,301013,H,10.0,0.001,2.987840133981932,0.9853811580777143
laplace,301013,H,10.0,0.005,2.9328737838060177,0.9841994397669045
laplace,301013,H,50.0,9e-05,2.771092799018203,0.9801374060868322
laplace,301013,H,50.0,0.001,2.743609623930246,0.9793502060951484
laplace,301013,H,50.0,0.005,2.732616353895063,0.9790266586754213
laplace,301013,H,200.0,9e-05,2.6605620199421565,0.9767767858840097
laplace,301013,H,200.0,0.001,2.6495687499069738,0.9764129173127483
laplace,301013,H,200.0,0.005,2.655065384924565,0.9765955587202426
laplace,301013,H,1000.0,9e-05,2.597828855984916,0.9746223090729893
laplace,301013,H,1000.0,0.001,2.597828855984916,0.9746223090729893
laplace,301013,H,1000.0,0.005,2.6088221260200988,0.9750138006475075
laplace,301014,CP,,,2.8379872229131746,0.9819303224762828
laplace,301014,Oracle,,,2.6562173376343527,0.9766336560220463
laplace,301014,H,2.0,9e-05,3.985142243066659,0.9964323287541688
laplace,301014,H,2.0,0.001,3.860270805258493,0.9957432415144412
laplace,301014,H,2.0,0.005,3.7126954696670245,0.994755336975339
laplace,301014,H,10.0,9e-05,3.18136270863154,0.9888812931720723
laplace,301014,H,10.0,0.001,3.0853247840576334,0.9872638153783706
laplace,301014,H,10.0,0.005,3.028565039599376,0.9861993247040961
laplace,301014,H,50.0,9e-05,2.872857554394105,0.9827997974004783
laplace,301014,H,50.0,0.001,2.850153656610802,0.9822385687457724
laplace,301014,H,50.0,0.005,2.8388017077191505,0.9819511241504191
laplace,301014,H,200.0,9e-05,2.7530444987149405,0.9796239047744635
laplace,301014,H,200.0,0.001,2.7473685242691146,0.9794596868319683
laplace,301014,H,200.0,0.005,2.7473685242691146,0.9794596868319683
laplace,301014,H,1000.0,9e-05,2.6939405060740813,0.9778475504605328
laplace,301014,H,1000.0,0.001,2.6996164805199068,0.9780246572872322
laplace,301014,H,1000.0,0.005,2.7052924549657327,0.9782003481609007
laplace,301012,CP,,,2.0793694337904487,0.9471698091060896
laplace,301012,Oracle,,,1.7764562833059,0.9189175360561528
laplace,301012,H,2.0,9e-05,2.874134167419253,0.9828308226906519
laplace,301012,H,2.0,0.001,2.799276867802805,0.9809135250255612
laplace,301012,H,2.0,0.005,2.7077846127160354,0.9782770445621005
laplace,301012,H,10.0,9e-05,2.310164077677268,0.9618818743052546
laplace,301012,H,10.0,0.001,2.235639157020234,0.9576451023012527
laplace,301012,H,10.0,0.005,2.1898930294768495,0.9548143817205699
laplace,301012,H,50.0,9e-05,2.0337675677223728,0.9436504867768749
laplace,301012,H,50.0,0.001,2.0129738733844706,0.9419688272983779
laplace,301012,H,50.0,0.005,2.0046563956493095,0.9412821942049887
laplace,301012,H,200.0,9e-05,1.9132894308088386,0.933183141785259
laplace,301012,H,200.0,0.001,1.909130691941258,0.9327890109226866
laplace,301012,H,200.0,0.005,1.917448169676419,0.9335749614314817
laplace,301012,H,1000.0,9e-05,1.8425908700599711,0.9261572168851753
laplace,301012,H,1000.0,0.001,1.850908347795132,0.927020718133359
laplace,301012,H,1000.0,0.005,1.8633845643978733,0.9282970739716783
laplace,301017,CP,,,2.6308390300779427,0.9757797988738512
laplace,301017,Oracle,,,2.4270052966432734,0.9676875865893306
laplace,301017,H,2.0,9e-05,3.694261788363549,0.9946168152773398
laplace,301017,H,2.0,0.001,3.578504871040132,0.9936593254585571
laplace,301017,H,2.0,0.005,3.4417012414760944,0.9923058930424988
laplace,301017,H,10.0,9e-05,2.954412793022169,0.9846734803525334
laplace,301017,H,10.0,0.001,2.865384795187365,0.9826170604393498
laplace,301017,H,10.0,0.005,2.8075063365256567,0.9811343701248108
laplace,301017,H,50.0,9e-05,2.6473790988123582,0.9763397635372673
laplace,301017,H,50.0,0.001,2.621070708511582,0.9754428873055738
laplace,301017,H,50.0,0.005,2.6099748389004915,0.9750544995223587
laplace,301017,H,200.0,9e-05,2.531049667998162,0.9721088199541617
laplace,301017,H,200.0,0.001,2.5205263118778514,0.971690631722606
laplace,301017,H,200.0,0.005,2.525787989938007,0.9719005037837198
laplace,301017,H,1000.0,9e-05,2.465736392664121,0.9694098692863009
laplace,301017,H,1000.0,0.001,2.4709980707242765,0.9696366498248041
laplace,301017,H,1000.0,0.005,2.481521426844587,0.970085179639721
laplace,301016,CP,,,2.654907728400111,0.9765903398843558
laplace,301016,Oracle,,,2.452248769305509,0.9688207811275418
laplace,301016,H,2.0,9e-05,3.7280593987420914,0.9948680632813001
laplace,301016,H,2.0,0.001,3.616553274149299,0.9939914912500185
laplace,301016,H,2.0,0.005,3.4784980722725085,0.992696043932018
laplace,301016,H,10.0,9e-05,2.9814417634082053,0.9852482768197086
laplace,301016,H,10.0,0.001,2.8915992771164434,0.9832496967206699
laplace,301016,H,10.0,0.005,2.8331913070916475,0.9818073492480162
laplace,301016,H,50.0,9e-05,2.6662893014354334,0.976964124899991
laplace,301016,H,50.0,0.001,2.6444722883760594,0.976242299644138
laplace,301016,H,50.0,0.005,2.634430408694636,0.9759025008385425
laplace,301016,H,200.0,9e-05,2.559515241067265,0.9732093187642976
laplace,301016,H,200.0,0.001,2.5488956101536657,0.9728039283557053
laplace,301016,H,200.0,0.005,2.554205425610465,0.9730073845971601
laplace,301016,H,1000.0,9e-05,2.4936044356287685,0.9705920199754081
laplace,301016,H,1000.0,0.001,2.4936044356287685,0.9705920199754081
laplace,301016,H,1000.0,0.005,2.5095338819991677,0.9712471058626431
laplace,301018,CP,,,3.374288472002884,0.9915362633668003
laplace,301018,Oracle,,,3.2273765465785327,0.989581786255838
laplace,301018,H,2.0,9e-05,4.778715588081438,0.9988385945302138
laplace,301018,H,2.0,0.001,4.610001164481313,0.9985256324626228
laplace,301018,H,2.0,0.005,4.4007952792171565,0.9980180307723368
laplace,301018,H,10.0,9e-05,3.756097505297228,0.9950675725739015
laplace,301018,H,10.0,0.001,3.6548688511371528,0.9943084069590036
laplace,301018,H,10.0,0.005,3.594131658641108,0.9937979148974383
laplace,301018,H,50.0,9e-05,3.4427426413952795,0.9923172162897298
laplace,301018,H,50.0,0.001,3.4224969105632645,0.9920940650976644
laplace,301018,H,50.0,0.005,3.4089997566752546,0.991941708277422
laplace,301018,H,200.0,9e-05,3.334765410291199,0.991049720074269
laplace,301018,H,200.0,0.001,3.3212682564031892,0.990877237476498
laplace,301018,H,200.0,0.005,3.3280168333471942,0.9909638903126783
laplace,301018,H,1000.0,9e-05,3.263758094252054,0.990104260432616
laplace,301018,H,1000.0,0.001,3.263758094252054,0.990104260432616
laplace,301018,H,1000.0,0.005,3.277255248140064,0.9902913575825254
laplace,301020,CP,,,2.4388292478285054,0.9682234091983339
laplace,301020,Oracle,,,2.207864560446186,0.9559483295335627
laplace,301020,H,2.0,9e-05,3.40512827230931,0.9918974672769449
laplace,301020,H,2.0,0.001,3.297819785404868,0.9905696443356105
laplace,301020,H,2.0,0.005,3.1710006645177993,0.9887171583583814
laplace,301020,H,10.0,9e-05,2.7241542507188474,0.9787741582120797
laplace,301020,H,10.0,0.001,2.646501551973795,0.976310382041554
