shape,seed,rule,nu,alpha,half,cov
normal,300008,Oracle,,,2.0396657201521853,0.9586163685821842
normal,300008,H,2.0,9e-05,3.1906685582537673,0.9985805598538247
normal,300008,H,2.0,0.001,3.1034550939917893,0.9980872473987772
normal,300008,H,2.0,0.005,2.9978809004115003,0.9972813610631008
normal,300008,H,10.0,9e-05,2.5681900562914213,0.9897768911530695
normal,300008,H,10.0,0.001,2.485933635581812,0.9870787940966481
normal,300008,H,10.0,0.005,2.4354416299564563,0.9851263759190105
normal,300008,H,50.0,9e-05,2.2768896631828586,0.9772071846828196
normal,300008,H,50.0,0.001,2.2539387515349696,0.975799978614786
normal,300008,H,50.0,0.005,2.240168204546236,0.974919994999625
normal,300008,H,200.0,9e-05,2.157544922613836,0.9690367691453419
normal,300008,H,200.0,0.001,2.1485028462899045,0.9683261694765655
normal,300008,H,200.0,0.005,2.1530930286194825,0.9686886319589929
normal,300008,H,1000.0,9e-05,2.093420658334971,0.9636883801084355
normal,300008,H,1000.0,0.001,2.093420658334971,0.9636883801084355
normal,300008,H,1000.0,0.005,2.1071912053237045,0.9648989910366925
normal,300013,CP,,,2.5183437479081654,0.9882091814184819
normal,300013,Oracle,,,2.299763935266823,0.978538402296196
normal,300013,H,2.0,9e-05,3.5262209294097113,0.9995784648369814
normal,300013,H,2.0,0.001,3.4154138045017643,0.9993631481812555
normal,300013,H,2.0,0.005,3.284459929610554,0.9989782197333312
normal,300013,H,10.0,9e-05,2.8180080473167686,0.9951677401294894
normal,300013,H,10.0,0.001,2.727750219655103,0.993623212612047
normal,300013,H,10.0,0.005,2.677383344696945,0.9925800314000939
normal,300013,H,50.0,9e-05,2.528591839320316,0.9885478879513445
normal,300013,H,50.0,0.001,2.5034084018412366,0.9876996484702225
normal,300013,H,50.0,0.005,2.4933350268496053,0.9873450623392763
normal,300013,H,200.0,9e-05,2.4077113394207372,0.9839471320046049
normal,300013,H,200.0,0.001,2.4026746519249214,0.9837243394847874
normal,300013,H,200.0,0.005,2.4077113394207372,0.9839471320046049
normal,300013,H,1000.0,9e-05,2.3423861421629564,0.9808391207112608
normal,300013,H,1000.0,0.001,2.3451908747657733,0.9809826589280153
normal,300013,H,1000.0,0.005,2.355264249757405,0.9814904621724454
normal,300002,CP,,,2.286874468543441,0.9777968487483588
normal,300002,Oracle,,,2.030127626921853,0.9576564320304346
normal,300002,H,2.0,9e-05,3.174671840692996,0.9984999395913998
normal,300002,H,2.0,0.001,3.092344359825441,0.9980141766253949
normal,300002,H,2.0,0.005,2.982574385335368,0.9971416482010915
normal,300002,H,10.0,9e-05,2.55899563390092,0.9895024940184212
normal,300002,H,10.0,0.001,2.4770337008498395,0.9867520607795459
normal,300002,H,10.0,0.005,2.431296211478976,0.984955090883868
normal,300002,H,50.0,9e-05,2.26873813045319,0.9767157446471966
normal,300002,H,50.0,0.001,2.245869385767758,0.9752876246745061
normal,300002,H,50.0,0.005,2.2321481389564988,0.9743948262897195
normal,300002,H,200.0,9e-05,2.14538470239858,0.9680778988166638
normal,300002,H,200.0,0.001,2.1362372045244076,0.9673399156351832
normal,300002,H,200.0,0.005,2.140810953461494,0.9677107137047931
normal,300002,H,1000.0,9e-05,2.0859259662164575,0.9630146702222238
normal,300002,H,1000.0,0.001,2.0859259662164575,0.9630146702222238
normal,300002,H,1000.0,0.005,2.0996472130277164,0.9642401136971679
normal,300001,CP,,,2.231867916756434,0.9743763060976092
normal,300001,Oracle,,,1.9637572880428271,0.9504417545152057
normal,300001,H,2.0,9e-05,3.102774694714287,0.9980828446565129
normal,300001,H,2.0,0.001,3.0134999780440395,0.9974174694014168
normal,300001,H,2.0,0.005,2.9063703180397424,0.9963435157142606
normal,300001,H,10.0,9e-05,2.506371180530035,0.9878022504262038
normal,300001,H,10.0,0.001,2.421916954930569,0.9845611217403873
normal,300001,H,10.0,0.005,2.3683521249284203,0.9821324785965535
normal,300001,H,50.0,9e-05,2.200776607362302,0.9722481575843431
normal,300001,H,50.0,0.001,2.1784579281947405,0.970628038805696
normal,300001,H,50.0,0.005,2.173994192361228,0.9702944286404176
normal,300001,H,200.0,9e-05,2.080390218741524,0.9625102443108235
normal,300001,H,200.0,0.001,2.0714627470744995,0.9616844276719709
normal,300001,H,200.0,0.005,2.080390218741524,0.9625102443108235
normal,300001,H,1000.0,9e-05,2.017897917072351,0.9563981059635704
normal,300001,H,1000.0,0.001,2.0223616529058632,0.956860996385456
normal,300001,H,1000.0,0.005,2.0357528604064004,0.958224821855655
normal,300004,CP,,,2.222175379186387,0.9737285443325763
normal,300004,Oracle,,,1.951063936775729,0.9489505594777348
normal,300004,H,2.0,9e-05,3.0848556396178486,0.9979634902665868
normal,300004,H,2.0,0.001,3.000412975208775,0.9973038621570827
normal,300004,H,2.0,0.005,2.8981929077662123,0.9962468033905647
normal,300004,H,10.0,9e-05,2.4910421816930817,0.9872631002740537
normal,300004,H,10.0,0.001,2.4069547232075768,0.9839138359556199
normal,300004,H,10.0,0.005,2.3536225141071094,0.9814085197674172
normal,300004,H,50.0,9e-05,2.200107794390851,0.972200751990469
normal,300004,H,50.0,0.001,2.173441689840617,0.970252910026842
normal,300004,H,50.0,0.005,2.1645529883238726,0.9695780654748116
normal,300004,H,200.0,9e-05,2.075799868026695,0.962087535409837
normal,300004,H,200.0,0.001,2.0669111665099504,0.9612574746547058
normal,300004,H,200.0,0.005,2.071355517268323,0.9616744153652823
normal,300004,H,1000.0,9e-05,2.0091346066511107,0.9554771395516513
normal,300004,H,1000.0,0.001,2.013578957409483,0.9559462424658989
normal,300004,H,1000.0,0.005,2.0269120096846,0.9573285879051283
normal,300005,CP,,,2.3526761078277874,0.9813611385958989
normal,300005,Oracle,,,2.1073177500384856,0.9649099542306114
normal,300005,H,2.0,9e-05,3.2848400262068522,0.99897959709714
normal,300005,H,2.0,0.001,3.1907329818937513,0.9985808763018058
normal,300005,H,2.0,0.005,3.073099176502375,0.9978815193126747
normal,300005,H,10.0,9e-05,2.6326271820896645,0.9915272705577189
normal,300005,H,10.0,0.001,2.5483069081554874,0.9891752806964467
normal,300005,H,10.0,0.005,2.501253385998937,0.9876245400202968
normal,300005,H,50.0,9e-05,2.3387232739928554,0.9806502401711048
normal,300005,H,50.0,0.001,2.31519651291458,0.9793978199848927
normal,300005,H,50.0,0.005,2.30578580848327,0.9788773964116848
normal,300005,H,200.0,9e-05,2.225794820817134,0.9739720721037677
normal,300005,H,200.0,0.001,2.211820522226347,0.973020931468698
normal,300005,H,200.0,0.005,2.216525874442002,0.9733444921521668
