p,q,x,L,U,tol,evals,beta,ell,seconds
0.9036,0.9,0.1785,0.7798705995311656,0.7801045607110249,0.0003,1683220,1.5168712898423122,1.3727470898288867,12.00836968421936
0.9036,0.9,0.179,0.7789071547072605,0.7791408268536726,0.0003,1573802,1.5194672864697216,1.3710437248155374,12.005511045455933
0.9036,0.9,0.1795,0.7779414987861808,0.7781748812358166,0.0003,1614140,1.5220655585245524,1.3693368257214653,12.197494268417358
0.9036,0.9,0.18,0.776973628135416,0.7772067202238566,0.0003,1776064,1.5246713105966627,1.3676265709253537,12.443665027618408
0.9036,0.9,0.1805,0.7760035390825258,0.7762363401442506,0.0003,1792624,1.5272804229689247,1.3659125062112318,12.640358209609985
0.9036,0.9,0.181,0.7750312279146486,0.775263737283023,0.0003,1857792,1.5298955440492972,1.3641945613519475,12.517274618148804
0.9036,0.9,0.1815,0.7740566908778624,0.7742889078851257,0.0003,1543768,1.5325146906652232,1.362473168995773,12.315454721450806
0.9036,0.9,0.182,0.7730799241767724,0.7733118481540254,0.0003,1802830,1.5351402851605944,1.3607479319168483,12.706082820892334
0.9036,0.9,0.1825,0.7721009239738397,0.7723325542510318,0.0003,1595804,1.5377707858115721,1.359019155676209,12.603670358657837
0.9036,0.9,0.183,0.7711196863889742,0.7713510222948908,0.0003,2012240,1.5404082259205565,1.3572869132416852,13.180347204208374
0.9036,0.9,0.1835,0.7701362074988177,0.7703672483610673,0.0003,1964516,1.5430493697871046,1.3555510640466866,13.142328023910522
0.9036,0.9,0.184,0.7691504833363605,0.7693812284813614,0.0003,1853250,1.5456974083277957,1.3538113203255202,12.613410472869873
0.9036,0.9,0.1845,0.7681625098902313,0.7683929586431983,0.0003,1472610,1.5483520396361985,1.3520678414381537,12.25118374824524
0.9036,0.9,0.185,0.7671722831042352,0.7674024347891665,0.0003,1395390,1.55101052199905,1.3503207404985638,12.35631251335144
0.9036,0.9,0.1855,0.7661797988767779,0.7664096528164409,0.0003,1682856,1.553676532793245,1.3485696280217094,12.836168050765991
0.9036,0.9,0.186,0.7651850530602148,0.7654146085761329,0.0003,2226740,1.5563491441360138,1.3468152552161556,13.210686683654785
0.9036,0.9,0.1865,0.7641880414603641,0.7644172978728022,0.0003,1435066,1.5590263140859943,1.3450568589277663,12.493671417236328
0.9036,0.9,0.187,0.7631887598358725,0.7634177164638233,0.0003,1644868,1.5617113308115265,1.3432950494399267,12.668743133544922
0.9036,0.9,0.1875,0.7621872038977445,0.7624158600589138,0.0003,1597980,1.564402495475502,1.3415289976745457,12.849138021469116
0.9036,0.9,0.188,0.7611833693085093,0.7614117243193018,0.0003,2193922,1.5670996570592028,1.3397592731695565,13.65827465057373
0.9036,0.9,0.1885,0.7601772516818694,0.760405304857374,0.0003,1943792,1.5698042799232395,1.337985840761078,13.561471700668335
0.9036,0.9,0.189,0.7591688465820111,0.7593965972359857,0.0003,1723904,1.5725151746528807,1.3362084613651726,13.087641477584839
0.9036,0.9,0.1895,0.758158149522963,0.7583855969678198,0.0003,2034976,1.5752327855583874,1.3344275082890198,13.197603940963745
0.9036,0.9,0.19,0.7571451559680543,0.7573722995148447,0.0003,1849044,1.5779575575419602,1.3326421303105838,13.34338903427124
0.9036,0.9,0.1905,0.7561298613292976,0.7563567002876964,0.0003,1872442,1.580689313033326,1.330853481992994,13.229891300201416
0.9036,0.9,0.191,0.7551122609666604,0.7553387946449504,0.0003,2095942,1.583428433786064,1.3290609276593903,13.181695222854614
